[14:08:42] CPU Temp: 40.41  C, Fan Speed: 56.83%
[14:09:42] CPU Temp: 38.46  C, Fan Speed: 48.07%
[14:10:42] CPU Temp: 37.00  C, Fan Speed: 41.49%
[14:11:42] CPU Temp: 37.00  C, Fan Speed: 41.49%
[14:12:42] CPU Temp: 36.51  C, Fan Speed: 39.30%
[14:13:42] CPU Temp: 36.51  C, Fan Speed: 39.30%
[14:14:42] CPU Temp: 36.51  C, Fan Speed: 39.30%
[14:16:48] CPU Temp: 34.56  C, Fan Speed: 30.53%
[14:17:48] CPU Temp: 34.56  C, Fan Speed: 30.53%
[14:18:48] CPU Temp: 34.56  C, Fan Speed: 30.53%
[14:19:48] CPU Temp: 35.05  C, Fan Speed: 32.72%
[14:20:48] CPU Temp: 36.02  C, Fan Speed: 37.11%
[14:21:48] CPU Temp: 35.05  C, Fan Speed: 32.72%
[14:22:48] CPU Temp: 35.54  C, Fan Speed: 34.92%
[14:23:48] CPU Temp: 34.56  C, Fan Speed: 30.53%
[14:24:48] CPU Temp: 34.56  C, Fan Speed: 30.53%
[14:25:48] CPU Temp: 35.54  C, Fan Speed: 34.92%
[14:26:48] CPU Temp: 34.08  C, Fan Speed: 28.34%
[14:27:48] CPU Temp: 34.56  C, Fan Speed: 30.53%
[14:28:48] CPU Temp: 35.05  C, Fan Speed: 32.72%
[14:29:48] CPU Temp: 35.54  C, Fan Speed: 34.92%
[14:30:48] CPU Temp: 35.54  C, Fan Speed: 34.92%
[14:31:48] CPU Temp: 35.05  C, Fan Speed: 32.72%
[14:32:48] CPU Temp: 35.54  C, Fan Speed: 34.92%
[14:33:48] CPU Temp: 34.56  C, Fan Speed: 30.53%
[14:34:49] CPU Temp: 35.05  C, Fan Speed: 32.72%
[14:35:49] CPU Temp: 34.56  C, Fan Speed: 30.53%
[14:36:49] CPU Temp: 34.56  C, Fan Speed: 30.53%
[14:37:49] CPU Temp: 34.56  C, Fan Speed: 30.53%
[14:38:49] CPU Temp: 35.05  C, Fan Speed: 32.72%
[14:39:49] CPU Temp: 35.05  C, Fan Speed: 32.72%
[14:40:49] CPU Temp: 35.05  C, Fan Speed: 32.72%
[14:41:49] CPU Temp: 35.54  C, Fan Speed: 34.92%
[14:42:49] CPU Temp: 33.59  C, Fan Speed: 26.15%
[14:43:49] CPU Temp: 35.05  C, Fan Speed: 32.72%
