[16:44:16] Temp: 40.9°C, Fan: 59%
[16:45:16] Temp: 38.0°C, Fan: 46%
[16:46:16] Temp: 37.5°C, Fan: 44%
[16:47:16] Temp: 45.8°C, Fan: 100%
[16:48:16] Temp: 48.2°C, Fan: 100%
[16:49:16] Temp: 38.9°C, Fan: 50%
[16:50:16] Temp: 36.5°C, Fan: 39%
[16:54:23] Temp: 54.0°C, Fan: 100%
[16:55:23] Temp: 49.7°C, Fan: 100%
[16:56:23] Temp: 49.2°C, Fan: 100%
[16:57:23] Temp: 48.2°C, Fan: 100%
[16:58:23] Temp: 48.7°C, Fan: 100%
[16:59:23] Temp: 47.7°C, Fan: 100%
[17:00:23] Temp: 40.4°C, Fan: 57%
[17:01:24] Temp: 37.5°C, Fan: 44%
[17:02:24] Temp: 37.0°C, Fan: 41%
[17:03:24] Temp: 37.0°C, Fan: 41%
[17:04:24] Temp: 37.0°C, Fan: 41%
[17:05:24] Temp: 36.0°C, Fan: 37%
[17:06:24] Temp: 37.5°C, Fan: 44%
[17:07:24] Temp: 36.0°C, Fan: 37%
[17:08:24] Temp: 36.0°C, Fan: 37%
[17:09:24] Temp: 37.0°C, Fan: 41%
[17:10:24] Temp: 36.5°C, Fan: 39%
[17:11:24] Temp: 37.0°C, Fan: 41%
[17:12:24] Temp: 36.5°C, Fan: 39%
[17:13:24] Temp: 37.0°C, Fan: 41%
[17:14:24] Temp: 36.5°C, Fan: 39%
[17:15:24] Temp: 37.0°C, Fan: 41%
[17:16:24] Temp: 36.5°C, Fan: 39%
[17:17:24] Temp: 36.0°C, Fan: 37%
[17:18:24] Temp: 37.0°C, Fan: 41%
[17:19:24] Temp: 35.0°C, Fan: 33%
[17:20:24] Temp: 35.0°C, Fan: 33%
[17:21:24] Temp: 35.0°C, Fan: 33%
[17:22:24] Temp: 35.5°C, Fan: 35%
[17:23:24] Temp: 35.5°C, Fan: 35%
[17:24:24] Temp: 35.5°C, Fan: 35%
[17:25:24] Temp: 35.0°C, Fan: 33%
[17:26:24] Temp: 35.5°C, Fan: 35%
[17:27:24] Temp: 34.1°C, Fan: 28%
[17:28:25] Temp: 36.0°C, Fan: 37%
[17:29:25] Temp: 35.5°C, Fan: 35%
[17:30:25] Temp: 34.6°C, Fan: 31%
[17:31:25] Temp: 35.0°C, Fan: 33%
[17:32:25] Temp: 35.5°C, Fan: 35%
[17:33:25] Temp: 35.5°C, Fan: 35%
[17:34:25] Temp: 35.5°C, Fan: 35%
[17:35:25] Temp: 34.6°C, Fan: 31%
[17:36:25] Temp: 35.5°C, Fan: 35%
[17:37:25] Temp: 35.0°C, Fan: 33%
[17:38:25] Temp: 35.0°C, Fan: 33%
[17:39:25] Temp: 34.6°C, Fan: 31%
[17:40:25] Temp: 34.1°C, Fan: 28%
[17:41:25] Temp: 35.0°C, Fan: 33%
[17:42:25] Temp: 34.6°C, Fan: 31%
[17:43:25] Temp: 35.5°C, Fan: 35%
[17:44:25] Temp: 34.6°C, Fan: 31%
[17:45:25] Temp: 35.0°C, Fan: 33%
[17:46:25] Temp: 35.0°C, Fan: 33%
[17:47:25] Temp: 35.0°C, Fan: 33%
[17:48:25] Temp: 35.0°C, Fan: 33%
[17:49:25] Temp: 34.6°C, Fan: 31%
[17:50:26] Temp: 35.5°C, Fan: 35%
[17:51:26] Temp: 34.6°C, Fan: 31%
[17:52:26] Temp: 35.0°C, Fan: 33%
[17:53:26] Temp: 34.1°C, Fan: 28%
[17:54:26] Temp: 35.0°C, Fan: 33%
[17:55:26] Temp: 34.6°C, Fan: 31%
[17:56:26] Temp: 36.0°C, Fan: 37%
[17:57:26] Temp: 34.6°C, Fan: 31%
[17:58:26] Temp: 35.0°C, Fan: 33%
[17:59:26] Temp: 35.5°C, Fan: 35%
[18:00:26] Temp: 35.0°C, Fan: 33%
[18:01:26] Temp: 34.6°C, Fan: 31%
[18:02:26] Temp: 35.0°C, Fan: 33%
[18:03:26] Temp: 35.5°C, Fan: 35%
[18:04:26] Temp: 35.0°C, Fan: 33%
[18:05:26] Temp: 34.6°C, Fan: 31%
[18:06:26] Temp: 34.6°C, Fan: 31%
[18:07:26] Temp: 35.5°C, Fan: 35%
[18:08:26] Temp: 35.0°C, Fan: 33%
[18:09:26] Temp: 34.6°C, Fan: 31%
[18:10:26] Temp: 35.0°C, Fan: 33%
[18:11:26] Temp: 35.5°C, Fan: 35%
[18:12:27] Temp: 35.0°C, Fan: 33%
[18:13:27] Temp: 34.1°C, Fan: 28%
[18:14:27] Temp: 35.5°C, Fan: 35%
[18:15:27] Temp: 34.6°C, Fan: 31%
[18:16:27] Temp: 36.0°C, Fan: 37%
