[19:14:26] Temp: 35.7°C, Fan: 24%, Battery: 12.19V
[19:16:57] TEMP[37.8] — FAN[35%] — VOLT[12.21] — BTNS[1, 1] — LEDS[0, 0]V
[19:17:58] TEMP[36.5] — FAN[28%] — VOLT[12.17] — BTNS[1, 1] — LEDS[0, 0]V
[19:18:59] TEMP[36.8] — FAN[30%] — VOLT[12.19] — BTNS[1, 1] — LEDS[0, 0]V
[19:19:59] TEMP[36.7] — FAN[29%] — VOLT[12.20] — BTNS[1, 1] — LEDS[0, 0]V
[19:21:00] TEMP[36.5] — FAN[28%] — VOLT[12.21] — BTNS[1, 1] — LEDS[0, 0]V
[19:22:00] TEMP[40.1] — FAN[47%] — VOLT[12.17] — BTNS[1, 1] — LEDS[0, 0]V
[19:23:43] TEMP[48.0] — FAN[90%] — VOLT[12.15] — BTNS[1,1] — LEDS[0,0]V
[19:24:44] TEMP[47.7] — FAN[88%] — VOLT[12.15] — BTNS[1,1] — LEDS[0,0]V
[19:25:45] TEMP[47.7] — FAN[88%] — VOLT[12.15] — BTNS[1,1] — LEDS[0,0]V
[19:26:45] TEMP[46.4] — FAN[81%] — VOLT[12.16] — BTNS[1,1] — LEDS[0,0]V
[19:27:46] TEMP[49.5] — FAN[97%] — VOLT[12.15] — BTNS[1,1] — LEDS[0,0]V
[19:28:46] TEMP[55.3] — FAN[100%] — VOLT[12.12] — BTNS[1,1] — LEDS[1,0]V
[19:29:47] TEMP[51.8] — FAN[100%] — VOLT[12.06] — BTNS[1,1] — LEDS[1,0]V
[19:30:48] TEMP[49.5] — FAN[97%] — VOLT[12.07] — BTNS[1,1] — LEDS[0,0]V
[19:31:48] TEMP[48.2] — FAN[90%] — VOLT[12.07] — BTNS[1,1] — LEDS[0,0]V
[19:32:49] TEMP[47.9] — FAN[89%] — VOLT[12.09] — BTNS[1,1] — LEDS[0,0]V
[19:33:50] TEMP[47.2] — FAN[85%] — VOLT[12.07] — BTNS[1,1] — LEDS[0,0]V
[19:34:50] TEMP[47.4] — FAN[86%] — VOLT[12.09] — BTNS[1,1] — LEDS[0,0]V
[19:35:51] TEMP[47.5] — FAN[87%] — VOLT[12.07] — BTNS[1,1] — LEDS[0,0]V
[19:36:51] TEMP[47.4] — FAN[86%] — VOLT[12.08] — BTNS[1,1] — LEDS[0,0]V
[19:37:52] TEMP[47.5] — FAN[87%] — VOLT[12.08] — BTNS[1,1] — LEDS[0,0]V
[19:38:53] TEMP[47.2] — FAN[85%] — VOLT[12.09] — BTNS[1,1] — LEDS[0,0]V
[19:40:37] TEMP[35.5] — FAN[23%] — VOLT[12.18] — BTNS[1,1] — LEDS[0,0]
[19:41:38] TEMP[35.9] — FAN[25%] — VOLT[12.18] — BTNS[1,1] — LEDS[0,0]
[19:42:39] TEMP[37.2] — FAN[32%] — VOLT[12.18] — BTNS[1,1] — LEDS[0,0]
[19:43:39] TEMP[37.3] — FAN[32%] — VOLT[12.18] — BTNS[1,1] — LEDS[0,0]
[19:44:40] TEMP[36.8] — FAN[30%] — VOLT[12.18] — BTNS[1,1] — LEDS[0,0]
[19:45:41] TEMP[36.8] — FAN[30%] — VOLT[12.18] — BTNS[1,1] — LEDS[0,0]
[19:46:41] TEMP[36.3] — FAN[27%] — VOLT[12.18] — BTNS[1,1] — LEDS[0,0]
[19:47:42] TEMP[36.0] — FAN[25%] — VOLT[12.18] — BTNS[1,1] — LEDS[0,0]
[19:48:43] TEMP[36.0] — FAN[25%] — VOLT[12.14] — BTNS[1,1] — LEDS[0,0]
[19:49:44] TEMP[36.7] — FAN[29%] — VOLT[12.17] — BTNS[1,1] — LEDS[0,0]
